text,label
@AmericanAir You Cancelled Flight my flight and there’s no way to rebook on the website or app? I have to wait 35 minutes on hold? #fail cc @Delta,1
@AmericanAir all I want is to know what to do regarding my connecting flights since my 1st is Cancelled Flightled. Could you be of assistance?,1
@SouthwestAir some woman gets on plane and holds 2 seats in the bulkhead for her friends with C boarding passes. I paid $ earlybird thx,1
@AmericanAir fight got Cancelled Flighted can u help me rebook a flight?  Call center is too busy to answer calls or even put me on hold #yuck,1
@United landed in den on time stuck waiting for gate for 30 min. Maybe an update would be a good idea capt?,1
@JetBlue No worries. Delay was minor and dealt with nicely. It was captain of flight 2324 by the way.,0
@AmericanAir not having pillows or blankets or a flight home for 40 people does bad things to my hair,1
@SouthwestAir @fly2midway 45 minute wait for my bags. Just what I needed on a Sunday night.,1
"@JetBlue You never got my wife to her destination and you expect a $75.00 ""goodwill credit"" will  make everything hunky-dory. You blew it.",1
@JetBlue thanks! Calling right now!,0
@SouthwestAir yes. Thank you. Oct 25-oct 31,0
@united somehow I knew that you'd wait until I was airborne to respond. #hacks #jokers #neveragain.,1
Thx! Stand by! “@united: @rajuchinthala I know it's frustrating and I do appreciate your patience while we try to get you on your way. ^JH”,2
"@united hey, I missed my outbound flight - can I still use my return ticket?",2
"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",1
@SouthwestAir it eventually arrived. just seemed really slow. :),1
@USAirways The fact we did not get notified hindered our ability to look for alternate flights before they were snapped up.,1
@united Nope! I'm on UA 174 that was supposed to leave at 6:47 but are still at the gate. Apparently we are about to pull back and de-ice.,1
@United to operated #B767-300ER from #Newark to #Zurich @ZRH_airport replacing B767-400ER between 6MAY-23SEP instead till 23OCT #avgeek,2
@USAirways @AmericanAir I'm in the #finalstretch to #chairman #execplat #mileagerun for 6k needed any suggestions? #letsgo!,2
@AmericanAir Thank you!!!! I will be there to pick her up on time.,0
"@AmericanAir that's unacceptable. They should allow me to wait on hold, or take my number and call me themselves.",1
@SouthwestAir 40 minutes still haven't talked to one person #shocking phone is gonna died before I talk to anyone http://t.co/iWoiGRLHXb,1
@USAirways waiting for bags now over 25min in Phl bag claim!,1
@JetBlue You also promised to change my wife's name on the account and it is also not done.  WTF?,1
@JetBlue Seems very likely.,0
@united this is not what captain said! Your 820pm flight to San Francisco is delayed due to weather. UA1416 now departs ....#failagain,1
"@united it was an international flight, and we didn't get our new eta until we were in the air.",1
@JetBlue your app needs updating. Says my flight is on time when we are well past boarding time with 2hr delay http://t.co/BTvpxTZJu0,1
@SouthwestAir Yes I can. But you guys should get your act together.,1
@united hello. I'm overseas &amp; my bag is lost. I can't call customer service but can you help me?,1
"@united yes #LHRT2 lounge is fantastic, if only the US ones could be remotely similar!",0
"@JetBlue absolutely. The missed connection caused us to miss our ferry to Vieques. Get us to Vieques. Also, flight vouchers. #PRBound",1
@SouthwestAir Should be a way to give voice to customers who pay for services that are not satisfactorily delivered. #justsayin,1
@AmericanAir Mold on my flight?!? US3825 #filthyplane #hopeidonotgetsick http://t.co/zIK2UoXGnW,1
"@SouthwestAir thanks for the reply, something is off with the phones becuz after 2 dropped calls at 2 hours on hold, I got through on 1 ring",0
@USAirways can you priv chat to help chairman reroute,2
@united I bought a ticket yesterday and received a confirmation. Tried to check in and they said I hadn't paid for it. So I called was on,1
@SouthwestAir thank you kindly.,0
@SouthwestAir @TheEllenShow @Imaginedragons this job interferes w/Ellen Show &amp; concerts! will alway treasure my @LiveAtFirefly experience!,2
"@AmericanAir @NY_NJairports AA1224: 45 mins for Priority bags to arrive, now Late Flight for evening plans! Delta 20 min bag guarantee anyone? :(",1
"@JetBlue's CEO #pilots among ardent fans, Wall Street - Poughkeepsie Journal http://t.co/zSdGzyDNDe",2
😩😂😂😂😂 “@JetBlue: Our fleet's on fleek. http://t.co/yco9dikpt9”,2
@USAirways if you get my bag from E Gate to B Gate at the Charlotte airport before my 6 pm flight (Late Flight cause of yall) I’ll ride US for life,1
"@SouthwestAir Sorry to spam, it would just be so awesome to see @Imaginedragons in Vegas. Your help would be absolutely amazing.",0
@united I took care of it myself. Had to rent a car and drive 3 hours to retrieve my belongings. Due to united errors.,1
"@SouthwestAir- ...was only less than 3500pts, but it helped. Had PartnerRewards incoming, but not fast enough to keep pts from expiring.",2
@USAirways Emailed them a week ago and still nothing...,1
@SouthwestAir sure did. Also read on there that Southwest doesn't believe it is liable for the incident. How is it my fault that SW lost it?,1
@JetBlue no news here at the gate. What are my options?,1
@JetBlue I LOVE JET BLUE!,0
“@JetBlue: @benjaminokeefe Thanks for including us on your tour! Did you pack your winter coat?”Unfortunately yes ❄️⛄️ #WereNotinCaliAnymore,1
