text,label
@AmericanAir You Cancelled Flight my flight and there’s no way to rebook on the website or app? I have to wait 35 minutes on hold? #fail cc @Delta,0
@AmericanAir all I want is to know what to do regarding my connecting flights since my 1st is Cancelled Flightled. Could you be of assistance?,0
@SouthwestAir some woman gets on plane and holds 2 seats in the bulkhead for her friends with C boarding passes. I paid $ earlybird thx,0
@AmericanAir fight got Cancelled Flighted can u help me rebook a flight?  Call center is too busy to answer calls or even put me on hold #yuck,0
@United landed in den on time stuck waiting for gate for 30 min. Maybe an update would be a good idea capt?,0
@JetBlue No worries. Delay was minor and dealt with nicely. It was captain of flight 2324 by the way.,1
@AmericanAir not having pillows or blankets or a flight home for 40 people does bad things to my hair,0
@SouthwestAir @fly2midway 45 minute wait for my bags. Just what I needed on a Sunday night.,0
"@JetBlue You never got my wife to her destination and you expect a $75.00 ""goodwill credit"" will  make everything hunky-dory. You blew it.",0
@JetBlue thanks! Calling right now!,1
@SouthwestAir yes. Thank you. Oct 25-oct 31,1
@united somehow I knew that you'd wait until I was airborne to respond. #hacks #jokers #neveragain.,0
Thx! Stand by! “@united: @rajuchinthala I know it's frustrating and I do appreciate your patience while we try to get you on your way. ^JH”,2
"@united hey, I missed my outbound flight - can I still use my return ticket?",2
"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",0
@SouthwestAir it eventually arrived. just seemed really slow. :),0
@USAirways The fact we did not get notified hindered our ability to look for alternate flights before they were snapped up.,0
@united Nope! I'm on UA 174 that was supposed to leave at 6:47 but are still at the gate. Apparently we are about to pull back and de-ice.,0
@United to operated #B767-300ER from #Newark to #Zurich @ZRH_airport replacing B767-400ER between 6MAY-23SEP instead till 23OCT #avgeek,2
@USAirways @AmericanAir I'm in the #finalstretch to #chairman #execplat #mileagerun for 6k needed any suggestions? #letsgo!,2
@AmericanAir Thank you!!!! I will be there to pick her up on time.,1
"@AmericanAir that's unacceptable. They should allow me to wait on hold, or take my number and call me themselves.",0
@SouthwestAir 40 minutes still haven't talked to one person #shocking phone is gonna died before I talk to anyone http://t.co/iWoiGRLHXb,0
@USAirways waiting for bags now over 25min in Phl bag claim!,0
@JetBlue You also promised to change my wife's name on the account and it is also not done.  WTF?,0
@JetBlue Seems very likely.,1
@united this is not what captain said! Your 820pm flight to San Francisco is delayed due to weather. UA1416 now departs ....#failagain,0
"@united it was an international flight, and we didn't get our new eta until we were in the air.",0
@JetBlue your app needs updating. Says my flight is on time when we are well past boarding time with 2hr delay http://t.co/BTvpxTZJu0,0
@SouthwestAir Yes I can. But you guys should get your act together.,0
@united hello. I'm overseas &amp; my bag is lost. I can't call customer service but can you help me?,0
